TITLE,URL,IMAGE
Coronavirus Australia live updates: Health minister warns young Aussies to 'get the message',https://www.news.com.au/world/coronavirus/australia/coronavirus-australia-live-updates/live-coverage/1059af0fc17eaeb28292fc76c9fd07a8,https://content.api.news/v3/images/bin/488fe022eee0b58a4994869da327a301
Pence tells Air Force Academy graduates they inspire confidence that 'we will prevail' against coronavirus,https://www.foxnews.com/politics/pence-air-force-academy-graduates-prevail-against-coronavirus,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/1a11c785-e7fb-4f73-8200-b12540b2d710/1e518fd0-d961-4bbb-b0ef-ed3edfd7c1ec/1280x720/match/image.jpg
"Covid-19 in SA: Death toll at 52, as cases rise to 3 034",https://www.news24.com/SouthAfrica/News/covid-19-in-sa-death-toll-at-52-as-cases-rise-to-3-034-20200418,http://cdn.24.co.za/files/Cms/General/d/5078/3c8fa25f7e764189869608a5fa2f42a7.jpg
Desperate families turn to social media in search of convalescent plasma,https://www.cbsnews.com/news/desperate-families-turn-to-social-media-in-search-of-convalescent-plasma-coronavirus-potential-treatment/,https://cbsnews3.cbsistatic.com/hub/i/r/2020/04/18/f07cbddf-6572-41e0-8f5e-aeaea3b9d30b/thumbnail/1200x630/8a3ba15792fde046dcae36492a8492cc/behrbom-pic-5.jpg
Coronavirus: Florida Reopens Some Beaches As COVID-19 Cases Climb,https://www.buzzfeednews.com/article/otilliasteadman/florida-beaches-reopen-coronavirus,https://img.buzzfeed.com/buzzfeed-static/static/2020-04/18/19/campaign_images/d5e584e0aed5/florida-reopened-some-beaches-even-as-the-number--2-569-1587239186-7_dblbig.jpg
"Coronavirus | Need for separate study on COVID-19 impact on South Asia, say experts",https://www.thehindu.com/news/national/coronavirus-need-for-separate-study-on-covid-19-impact-on-south-asia-say-experts/article31378180.ece,https://www.thehindu.com/news/national/c4w4jy/article31378177.ece/ALTERNATES/LANDSCAPE_615/19TH-Q
"Coronavirus Lockdown - ""Remove All Barriers"": Bihar Minister To Centre After UP's Student Buses",https://www.ndtv.com/india-news/bihar-minister-to-centre-after-ups-student-buses-remove-all-barriers-2214073,https://c.ndtvimg.com/2020-04/upa6vr3o_agra-buses_625x300_17_April_20.jpg
"Florida begins reopening beaches amid coronavirus crisis, and people are enthusiastically flocking",https://www.usatoday.com/story/travel/news/2020/04/18/coronavirus-florida-beaches-reopen-big-crowds-during-pandemic/5159264002/,"https://www.gannett-cdn.com/presto/2020/04/18/USAT/121a48d4-acc2-4bf8-a6d6-79f21cb8a7e0-001_USP_News__Florida_Beaches_Opened.JPG?crop=5180,2914,x0,y476&width=3200&height=1680&fit=bounds"
Back to work protests resume in coronavirus-battered U.S.; New York may be past the worst,http://feeds.reuters.com/~r/reuters/topNews/~3/X9uewIbgfO4/back-to-work-protests-resume-in-coronavirus-battered-u-s-new-york-may-be-past-the-worst-idUSKBN2200OB,https://s3.reutersmedia.net/resources/r/?m=02&d=20200418&t=2&i=1515602263&w=1200&r=LYNXMPEG3H0IQ
Medal of Honor recipient Bennie Adkins loses battle with coronavirus at 86,https://www.foxnews.com/us/medal-of-honor-recipient-bennie-adkins-coronavirus,https://static.foxnews.com/foxnews.com/content/uploads/2018/09/MedalofHonor915-1.jpg
Coronavirus: What's happening in Canada and around the world on Saturday | CBC News,http://www.cbc.ca/news/canada/coronavirus-covid19-april18-canada-world-1.5537195,https://i.cbc.ca/1.5537350.1587235551!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/covid-que-20200418.jpg
"'It's an invisible disaster': Gift of the Givers food parcels, soup kitchens help prevent lockdown hunger",https://www.news24.com/SouthAfrica/News/its-an-invisible-disaster-gift-of-the-givers-food-parcels-soup-kitchens-help-prevent-lockdown-hunger-20200418,http://cdn.24.co.za/files/Cms/General/d/10094/be788704e22c4b3bbe632b2cd359a0e8.jpg
"New York coronavirus deaths top 13,000 but hospitalization continues to drop, Cuomo says",https://www.cnbc.com/2020/04/18/coronvirus-new-yorks-cuomo-briefs-updates-on-covid-19.html,https://image.cnbcfm.com/api/v1/image/106494122-1587145785874and5.jpg?v=1587145914
"Coronavirus update: Spain death toll passes 20,000, Queen cancels birthday plans and Turkey becomes Middle East epicentre",http://www.abc.net.au/news/2020-04-19/coronavirus-updates-april-19-queen-cancels-birthday-uae-fines/12161990,https://www.abc.net.au/news/image/12162260-16x9-700x394.jpg
"Hundreds Defy Common Sense, Safety At Infowars Rally To Reopen Businesses",https://www.huffpost.com/entry/austin-infowars-rally-reopen-businesses-coronavirus_n_5e9b473dc5b6ea335d5c6981,https://img.huffingtonpost.com/asset/5e9b4fb5250000ea0aeafdff.jpeg?ops=1200_630
